Comrades2016 90
David Gatebe 05:18:19
Ludwick Mamabolo 05:24:05
Bongmusa Mthembu 05:26:39
Mike Fokoroni 05:35:09
Rufus Photo 05:35:40
Claude Moshiywa 05:36:25
Siphiwe Ndlela 05:36:56	
Max King 05:37:27
Charles Tjiane 05:37:40	
Mncedisi Mkhize 05:38:34
Teboho Sello 05:39:37
Chimbidzikai Andrew 05:42:49
Marko Mambo 05:45:08
Fritjof Fagerlund 05:45:25
Mzwanele Mlatsha 05:45:58
Lucas Nonyana 05:46:53
Luzuko Mdeliswa 05:48:15
Renier Grobler 05:49:53
Brendan Davies 05:53:55
Thulane Magagula 05:56:26
Malusi Dlomo 05:58:06
Jonas Buud 05:58:17
Peter Muthubi 05:58:37
Thabo Nkuna 05:59:20
Gordon Lesetedi 05:59:38
Harmans Mokgadi 05:59:39
Eric Ngubane 06:00:44
Ruben Setumu 06:01:40
Siyabonga Dingile 06:02:35
Mzwenkosi Mjaja 06:04:21
Thapelo Leseyane 06:04:28
Zach Bitter 06:05:52
Bongani Mdletshe 06:06:05
Petoro Gaebetse 06:06:18
Fusi Nhlapo 06:06:20
Themba Mthembu 06:06:59
Jacob Seduma 06:07:19
Timothy Munzhelele 06:07:19
Bongani Msimango 06:09:03
Richard Dlamini 06:09:11
Gift Kelehe 06:09:41
Fanie Matshipa 06:09:41
Mbuyiseli Mema 06:10:57
Malefetsane Nkhi 06:11:44
